Company,Ticker,Exchange,Yahoo,Closing Price
A Consulting Team,TACX,NASDAQ,False,
A H Belo Corporation,AHC,NYSE,False,
A Mark Precious Metals Inc,AMRK,NASDAQ,True,37.885
A S V,ASVI,NASDAQ,False,
A10 Networks Inc,ATEN,NYSE,True,14.16
A123 Systems,AONE,NASDAQ,False,
A2Z Smart Technologies Corporation,AZ,NASDAQ,True,2.05
Aadi Bioscience Inc,AADI,NASDAQ,True,8.16
AAON Inc,AAON,NASDAQ,True,95.13
AAR Corp,AIR,NYSE,True,54.96
Aarons Holdings Company Inc,AAN,NYSE,True,14.41
Aastrom Biosciences,ASTMD,NASDAQ,False,
AB Volvo,VOLV,NASDAQ,False,
ABB Ltd,ABB,NYSE,True,37.13
Abbott Laboratories,ABT,NYSE,True,100.78
AbbVie Inc,ABBV,NYSE,True,137.64
AbbVie Inc,ABBV,NYSE,True,137.64
AbCellera Biologics Inc,ABCL,NASDAQ,True,7.16
Abeona Therapeutics Inc,ABEO,NASDAQ,True,4.29
Aber Diamond,ABER,NASDAQ,False,
Abercrombie and Fitch Co,ANF,NYSE,True,34.95
Aberdeen Asia Pacific Prime Income Fund,FAX,AMEX,True,2.71
Aberdeen Australia Equity Fund Inc,IAF,AMEX,True,4.45
Aberdeen Emerging Markets Equity Income Fund Inc,AEF,AMEX,True,5.26
Aberdeen Global Dynamic Dividend Fund,AGD,NYSE,True,9.3
Aberdeen Global Income Fund Inc,FCO,AMEX,True,5.43
Aberdeen Global Premier Properties Fund,AWP,NYSE,True,3.86
Aberdeen Income Credit Strategies Fund,ACP,NYSE,True,6.89
Aberdeen Japan Equity Fund Inc,JEQ,NYSE,True,5.98
Aberdeen Standard Global Infrastructure Income Fund,ASGI,NYSE,True,17.45
Aberdeen Total Dynamic Dividend Fund,AOD,NYSE,True,8.08
ABG Acquisition Corporation I,ABGI,NASDAQ,False,
Abgenix,ABGX,NASDAQ,False,
Abigail Adams National Bancorp,AANB,NASDAQ,False,
Ability Inc,ABIL,NASDAQ,False,
Abington Bancorp,ABBC,NASDAQ,False,
Abington Bancorp,ABBCD,NASDAQ,False,
Abington Bancorp,ABBK,NASDAQ,False,
ABIOMED Inc,ABMD,NASDAQ,True,381.02
Able Laboratories,ABRX,NASDAQ,False,
ABM Industries Inc,ABM,NYSE,True,47.13
Abrams Industries,ABRI,NASDAQ,False,
Abraxas Petroleum Corporation,AXAS,NASDAQ,True,0.0342
Abraxis Bioscience,ABBI,NASDAQ,False,
Abraxis Bioscience Inc.,ABII,NASDAQ,False,
ABRI SPAC I Inc,ASPA,NASDAQ,True,10.69
ABRI SPAC I Inc,ASPAU,NASDAQ,True,10.36
AbSci Corporation,ABSI,NASDAQ,True,1.7
AbSci Corporation,ABSI,NASDAQ,True,1.7
Absolute Software Corporation,ABST,NASDAQ,True,11.35
ABVC BioPharma Inc,ABVC,NASDAQ,True,0.6295
Abx Holdings,ABXA,NASDAQ,False,
AC Immune SA,ACIU,NASDAQ,True,2.22
Acacia Communications Inc,ACIA,NASDAQ,False,
Acacia Research Technologies,ACTG,NASDAQ,True,4.59
Academy Sports and Outdoors Inc,ASO,NASDAQ,True,50.8
Acadia Healthcare Company Inc,ACHC,NASDAQ,True,68.95
Acadia Pharmaceuticals Inc,ACAD,NASDAQ,True,25.09
Acadia Realty Trust,AKR,NYSE,True,14.39
Acamar Partners Acquisition Corporation,ACAM,NASDAQ,False,
Acasti Pharma Inc,ACST,NASDAQ,True,0.49
Accel Entertainment Inc,ACEL,NYSE,True,9.99
Accelerate Acquisition Corp,AAQC,NYSE,False,
Accelerate Diagnostics Inc,AXDX,NASDAQ,True,0.6806
Accelerated Pharma,ACCP,NASDAQ,False,
Accelerated Pharma Warrant,ACCPW,NASDAQ,False,
Acceleron Pharma Inc,XLRN,NASDAQ,False,
Accelrys,ACCL,NASDAQ,False,
Accenture Plc,ACN,NYSE,True,307.33
Access Anytime Bancorp,AABC,NASDAQ,False,
Access Integrated Technologies,AIXD,NASDAQ,False,
Access National Corp.,ANCX,NASDAQ,False,
Access Plans Usa,AUSA,NASDAQ,False,
Accessity - Common Stock,ACTY,NASDAQ,False,
Acclaim Entertainment,AKLM,NASDAQ,False,
Acco Brands Corporation,ACCO,NYSE,True,5.24
Accolade Inc,ACCD,NASDAQ,True,13.34
Accredited Home Lenders(Ipo),LEND,NASDAQ,True,16.1387
Accretion Acquisition Corporation,ENER,NASDAQ,True,10.35
Accretion Acquisition Corporation,ENERU,NASDAQ,True,10.5
Accuray Incorporated,ARAY,NASDAQ,True,3.68
Accuride Corp.,ACW,NYSE,False,
Ace Cash Express,AACE,NASDAQ,False,
Ace Comm Corp,ACEC,NASDAQ,False,
ACE Convergence Acquisition Corporation,ACEV,NASDAQ,False,
Ace Global Business Acquisition Ltd,ACBA,NASDAQ,True,11.15
Ace Global Business Acquisition Ltd,ACBAU,NASDAQ,True,11.06
AcelRX Pharmaceuticals Inc,ACRX,NASDAQ,True,1.11
Acer Therapeutics Com USD0.01,OPXA,NASDAQ,False,
Acer Therapeutics Inc,ACER,NASDAQ,True,0.94
